1,2,3,4,5,6,7,8,9,10,11,12
Helium,PN[R0N0E0]NP,30,,2   He-4,He-4,2,2,5,0,342.05,0
Lithium,PN[R1N2E0]NP,30,,3   Li-7,Li-7,3,2,5,0,342.05,0
Beryllium,PN[R2N3E0]NP,30,,4   Be-9,Be-9,4,2,5,0,342.05,0
Boron,PN[R3N4E0]NP,30,,5   B-11,B-11,5,2,5,0,342.05,0
Carbon,PN[R4N4E0]NP,30,,6   C-12,C-12,6,2,5,0,342.05,0
Nitrogen,PN[R5N5E0]NP,30,,7   N-14,N-14,7,2,5,0,342.05,0
Oxygen,PN[R6N6E0]NP,30,,8   O-16,O-16,8,2,5,0,342.05,0
Fluorine,PN[R7N8E0]NP,30,,9   F-19,F-19,9,2,5,0,342.05,0
Neon,PN[R8N8E0]NP,30,,10   Ne-20,Ne-20,10,2,5,0,342.05,0
Sodium,PN[R1N2E-1]N[R8N8E1]P,30,,11   Na-23,Na-23,11,2,5,0,342.05,0
Magnesium,PN[R2N2E-1]N[R8N8E1]P,30,,12   Mg-24,Mg-24,12,2,5,0,342.05,0
Aluminum,PN[R3N4E-1]N[R8N8E1]P,30,,13   Al-27,Al-27,13,2,5,0,342.05,0
Silicon,PN[R4N4E-1]N[R8N8E1]P,30,,14   Si-28,Si-28,14,2,5,0,342.05,0
Phosphorus,PN[R5N6E-1]N[R8N8E1]P,30,,15   P-31,P-31,15,2,5,0,342.05,0
Sulfur,PN[R6N6E-1]N[R8N8E1]P,30,,16   S-32,S-32,16,2,5,0,342.05,0
Chlorine,PN[R7N8E-1]N[R8N8E1]P,30,,17   Cl-35,Cl-35,17,2,5,0,342.05,0
Argon,PN[R8N8E-1][R0N2E0]N[R0N2E0][R8N8E1]P,30,,18   Ar-40,Ar-40,18,2,5,0,342.05,0
Potassium,PN[R8N8E-1][R1N2E0]N[R0N0E0][R8N8E1]P,30,,19   K-39,K-39,19,2,5,0,342.05,0
Calcium,PN[R8N8E-1][R1N1E0]N[R1N1E0][R8N8E1]P,30,,20   Ca-40,Ca-40,20,2,5,0,342.05,0
Scandium,PN[R8N8E-1][R2N3E0]N[R1N3E0][R8N8E1]P,30,,21   Sc-45,Sc-45,21,2,5,0,342.05,0
Titanium,PN[R8N8E-1][R2N4E0]N[R2N4E0][R8N8E1]P,30,,22   Ti-48,Ti-48,22,2,5,0,342.05,0
Vanadium,PN[R8N8E-1][R3N6E0]N[R2N4E0][R8N8E1]P,30,,23   V-51,V-51,23,2,5,0,342.05,0
Chromium,PN[R8N8E-1][R3N5E0]N[R3N5E0][R8N8E1]P,30,,24   Cr-52,Cr-52,24,2,5,0,342.05,0
Manganese,PN[R8N8E-1][R4N6E0]N[R3N6E0][R8N8E1]P,30,,25   Mn-55,Mn-55,25,2,5,0,342.05,0
Iron,PN[R8N8E-1][R4N6E0]N[R4N6E0][R8N8E1]P,30,,26   Fe-56,Fe-56,26,2,5,0,342.05,0
Cobalt,PN[R8N8E-1]N[R4N6E1]PN[R0N0E0]N[R0N0E0]PN[R3N4E-1]N[R8N8E1]P,35,,27   Co-59,Co-59,27,2,5,0,342.05,0
